Level  |   Biotech     Energy     Computer     Propulsion     Construction     Weapons
=======|==============================================================================
0      |   0           0          0            0              0                0
-------|------------------------------------------------------------------------------
1      |   1000        1000       1000         1000           1000             1000
-------|------------------------------------------------------------------------------
2      |   2000        2000       2000         2000           2000             2000
-------|------------------------------------------------------------------------------
3      |   4000        5000       4500         5000           6000             5500
-------|------------------------------------------------------------------------------
4      |   6000        10'000     8000         8000          12'000            11'000
-------|------------------------------------------------------------------------------
5      |   9000        18'000     13'000       12'000        18'000            20'000
-------|------------------------------------------------------------------------------
6      |   15'000      35'000     22'000       20'000        28'000            35'000
-------|------------------------------------------------------------------------------
7      |   22'000      60'000     35'000       30'000        40'000            50'000
-------|------------------------------------------------------------------------------
8      |   34'000      95'000     50'000       45'000        60'000            75'000
-------|------------------------------------------------------------------------------
9      |   50'000      150'000    70'000       80'000        110'000           130'000
-------|------------------------------------------------------------------------------
10     |   80'000                 140'000      110'000       200'000
-------|------------------------------------------------------------------------------
11     |                                       180'000
-------|------------------------------------------------------------------------------
12     |

